cell_line,bias,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
22RV1,0.0036592657537241175,-0.09888950144022973,0.0032696976539093262,-0.02355786807813255,0.11452491114566596,-0.062387480855502254,0.09282169593185814,-0.10197245138952488,0.1064293411121399,-0.0317011136956313,0.08379046773281089,-0.19381533458478697,0.0923557157984143,-0.02531178957153151,0.15072802257503637,-0.07400593465197598,0.10335999421204875,-0.04200923838905713,-0.1359069911764301,0.08042753716929435,0.022499101887668866,-0.12190473583478324,0.022056669539805205,-0.041444182257259966,0.018596409717620898,-0.051946968797974426,0.01103874034753559,-0.026333142174308787,0.024605810842873686,-0.0992355586243687,0.046711161196652876,-0.019098470410271674,0.04644268256021997
2313287,-0.009575485953054064,0.22492970497876505,0.06603978495488616,0.07998138866347011,-0.08913456584693467,-0.014621634705117055,0.009226322549558416,-0.021544731198133413,0.04078128824812118,-0.02579901045704851,0.04318558617765,0.06086127796537856,-0.008311633788546033,-0.1407507189259318,0.12528833979432222,-0.23480993646105,0.14252805897879153,-0.037759520025007876,-0.1570623126427612,-0.03529143440340598,0.13288263938766368,-0.20333909627410443,0.13594058594283875,-0.1622060320550785,-0.12060875878923427,-0.1588555850164065,-0.005206909586940598,0.00391581326246023,-0.1568355345250967,-0.024775933658468596,0.1506448109316793,-0.14964437205706466,0.06224412641298789
253J,-0.003728996744424999,0.14189975228963614,-0.07510318162038408,-0.12809842994195986,-0.1035709899136472,-0.15260982318902314,0.07869671043719828,0.060984460962420696,0.08626594103072047,-0.10787717242390792,-0.1272739025805763,0.008958771050640083,-0.1706418301072152,-0.03879842790329663,-0.0524917556892059,0.0011904485296944333,-0.06450402713064009,-0.14270517521357778,0.06394432270879408,0.01272356695317726,-0.2383769722458699,0.056935074599935555,-0.07955486145992005,-0.11076466799342166,-0.0072578833265153795,0.05555098080916847,0.10327658003476124,-0.13045636221038365,-0.00518278360646356,0.077479878247157,-0.10389450791726104,-0.08899739275156912,-0.016043178864068537
253JBV,0.005610735066232747,-0.16841995633823123,-0.16744506016411734,-0.08882765747545343,-0.039317416211879015,-0.11236871886000631,0.1002170327174711,0.0632601963646238,0.1336484841263227,0.010560593080095925,-0.11803259321565651,0.0977921652300481,-0.007196390740884565,0.01694629020401061,-0.054363988076352884,0.017708098938058255,0.13424908249387013,-0.08746560696736842,-0.05979567464048098,0.028307609674234246,-0.1643153866717407,0.07701746332774607,0.028954520265512228,-0.15975188859204387,0.006105688395272521,-0.004556592982297842,0.11168594662806364,-0.041802820414887365,-0.051872090408923634,0.12668526192484963,-0.020429212200558017,0.021640674551039067,-0.042869344832409374
42MGBA,-0.006341247570499686,0.15002062518462994,0.0014327196461130303,0.022311219529356812,0.08143650519726252,0.1289502309763406,0.04248165321843527,-0.18930367594738198,-0.136638753331411,0.06445526570071346,-0.09216379707209722,0.2417120640629134,-0.02983494674252203,0.17306477618717125,-0.11162263638460146,-0.062142854738103055,-0.023116048569202078,-0.03750968195483862,0.03866826094124819,0.04155022080418583,-0.04551067676706624,-0.13571062293889383,-0.07015452217215318,0.05065891111806572,-0.06156759639223397,0.0177097554542277,0.0240524789742893,0.12213931449936476,0.09036013920436926,0.08648673254592186,0.016435277280619425,0.08151949358502676,0.14408752039718312
5637,0.0026080281085179126,0.16347143410829143,0.23534074333297275,0.07643815675087608,0.002393954304265251,-0.17724549974074336,-0.1741755161987209,-0.05736199306495948,-0.027835133311717854,0.19497526323628564,0.20908761987529673,0.08386821597521697,-0.012097768909407095,0.05231833313201862,0.025820471537950092,0.023038351515875948,0.008809773573637596,-0.04054087817279105,0.0381094150465264,0.07374849345490386,-0.06789978373241153,0.04831099565207699,-0.06587377350787207,0.09814360908830537,0.04966050659948461,-0.07992957705488223,0.1447920483326403,0.0659411691547315,0.014083772382258625,0.05674285711377636,-0.0574560092480115,0.0065972027964862,-0.017286442388811905
639V,-0.008388947550923013,0.3738741642695613,0.22041412889633474,0.11437063548613495,0.16044262670659648,0.1606374593678415,-0.08693503378118667,-0.012075727734502143,-0.07806978350367616,-0.05608179322931349,0.04233524700177453,0.10804218680545798,0.0860805703677711,0.09772085657080049,-0.06241261476547642,-0.007581905876967307,-0.11707640671817968,0.08832863068679118,0.13308272002532578,0.184389163376753,-0.09277556617118439,-0.004056833689865325,0.057980775397367804,0.2074049284464972,0.04692207179797423,-0.07968444975293781,0.11216649180091684,-0.06536591464652688,-0.08025116016783687,-0.11988128215564321,-0.08644686611398171,0.05153984016506008,0.10031577835919447
647V,-0.002321392311168383,0.10468298793740803,-0.01996409845862703,-0.03807211711344875,0.023951595696498768,0.04544978988309844,0.06614446336628524,0.07495034944058473,0.09089838891536406,-0.025347133276462652,0.10534453246236776,0.2449714537311448,-0.03753424667100948,0.21587064582102133,-0.110699373805026,0.0610181170312348,0.04530587757692507,-0.09091013255907304,-0.03345651208931447,0.18024792996800823,0.0386771579718304,-0.22995848677758135,0.026018478446982927,-0.0076826530918009985,0.12580141716368753,-0.029236691631124745,-0.11363605192431121,-0.014192441797753601,0.09760552905996148,0.054398884997116176,-0.03291886393725682,0.15571008137672515,-0.05450498579363881
769P,-0.008086508966502566,0.2047660583204821,-0.20259308705578316,-0.06073884481279695,0.059625018376547545,-0.11158370926637248,0.03151582582651253,-0.15969488783352856,0.19483427898194192,-0.23999295414280178,-0.021550693762526787,0.02184138683619719,-0.1851928560182291,-0.010167942318420806,0.22124800453914673,0.024233247355835628,-0.1697841833882994,0.05818070853449012,0.09623567645886555,-0.02890736763859838,0.07343110233490112,0.08732278401275806,0.012521195482749116,-0.07107055721825556,-0.05274628838213021,-0.015993809277499424,0.05324336159239496,0.07804438161322369,-0.07520012418244451,0.03969780555015053,-0.054077518877384496,0.0544566552260895,0.07763306259696914
786O,-0.008470994886927064,-0.11997125190084956,-0.12110790293729007,-0.05982191901231739,0.21424965499407084,-0.048632504198595355,0.037317626457539194,-0.02234067502573926,0.05791344344365023,-0.06640043270584216,-0.10968737324449529,-0.014381792708093907,-0.17846351013835485,-0.05924811292813046,-0.007167869078342908,0.07676167206279796,-0.029667553486674502,-0.17089991448043193,0.16689451030147012,0.04557916160394232,0.16466999403886665,-0.10490189795852534,-0.032084439730166614,0.027640942759310574,-0.11285495819075655,0.04725717408622094,0.0014303777311660503,0.09609067219768966,-0.03788494958515568,-0.042490780902241176,0.02133697388727409,0.038799934249587824,-0.24599622958743908
8305C,-0.010765610192987246,0.4174292872789259,-0.1851995865524155,-0.060897823846831914,0.15011090152244164,0.04073457460395259,-0.13299911198965927,-0.05717667483196117,-0.10591001672540573,-0.010154531130288181,0.1122812906409005,-0.17490035219406347,-0.07294295509249399,-0.08625632804099033,0.0041059684614158645,0.13395721962100118,-0.07392993130416894,-0.030257435536272907,0.040955731069922875,-0.051357887519805225,0.02767222095836422,-0.03212336639173495,-0.04525278527590502,-0.06269197591457895,0.05217399796100187,0.10497046045928639,0.05690694755414605,0.03947328396293815,-0.07998405110018662,0.029204576805978585,-0.07802220591710719,-0.017835155231820308,-0.09927170290263695
8505C,0.0050971662721247665,-0.1626668410442037,-0.09079343442482482,-0.07654714259030218,0.18109307214898698,0.11637962050717175,-0.04979400854048298,-0.029154542404640865,-0.023456161035590013,0.08374863208950775,0.08017724897003743,0.019329043011673524,0.1547669027616206,-0.00798136787921667,0.11816668408832094,0.11278072317886863,0.18234576414547815,0.04615419127505852,-0.0368846597483547,0.026171893727378024,-0.05100725945435834,0.016780805437059322,0.003004427557195787,0.006603199021570003,0.11272170215223606,-0.011333209777697934,0.0301091818802133,-0.021485067440219267,0.07837614438705423,-0.035285469806094344,0.08161100899559627,0.048177673476299816,0.01706645587645631
8MGBA,-0.014648087381081672,0.14087024225098602,0.013373211393073344,-0.00028892352111888644,0.09619718789210799,0.12488487609262508,0.1894020134716339,-0.00551595103747433,0.09910588705109845,0.025947981031782787,0.20691242786692393,0.044108061320647644,-0.174040830921394,0.12002626950911166,-0.003899842416120293,0.056048159772551544,0.01987414718598517,0.05779506287941598,0.05294472508726308,0.052688111099837266,0.03940860668022171,-0.3412969690982282,0.18159325341496055,-0.08626546901089727,0.07099272034863938,0.17432326465747783,0.0428791041123102,0.06090816516219275,-0.11108368466979622,0.09159405647430276,-0.11910664791464672,0.07769411196574603,0.09958082834467455
A101D,-0.0016803174866134689,0.042216579009749074,-0.1557075971961023,-0.1870584447154265,-0.12384054980012614,0.3963620551037873,0.09945137611773323,-0.0588224093576027,-0.08265293343683468,-0.129912023545699,-0.036310665665309126,-0.06165487872337737,0.09491618453177729,-0.048625308149175414,-0.07140105021300977,-0.031144222865673872,-0.01215935689193451,-0.15530880097982158,-0.010862484553790156,-0.020101945114469912,0.04100582362092474,0.09193297103121872,0.13807393430455914,0.05631703386412823,0.1894674097875821,-0.0918314617613511,0.1473125444646748,-0.049289360592475316,0.04719660179230708,-0.031524950963354156,0.0449263482873037,-0.025690662975641904,0.04198575128808913
A172,0.011790042806080822,0.0067514143212866,0.0017809655721534518,0.018112123672574948,-0.02971446211847847,0.2410600634988279,0.055328303955277235,-0.07256795393411633,-0.016225681512439354,-0.04165275236087028,-0.07078811908255997,0.004565596558956268,0.10880214605022774,-0.0994636604819173,0.1406839716143294,0.09342878746444912,-0.08510567881085557,0.0011362017581522522,-0.0037589788811527246,-0.09538459702892967,-0.1910794574897306,0.01676868523609719,0.006550985786025133,-0.19376931173634213,-0.1492543866341526,-0.12783702254636792,0.1464996209754891,-0.12047515430442655,0.03045356782418658,0.019950887742202682,-0.0019388895275090855,-0.015268662913158313,-0.08929428686442473
A204,-0.005255985602537093,-0.046839220662688426,0.3407418746269949,0.06176422338681963,-0.11774135621536189,0.09868864573581793,0.26194797649877094,-0.0516313772896847,-0.0049999783238536466,0.1189055415203161,-0.1339717904348468,0.14055086372001319,-0.15080744361638812,-0.14078087866783667,-0.01412427654427918,-0.06215510579313824,0.056355758775137425,-0.03348897238543837,-0.07346882514581464,-0.09002583560616674,-0.04841007483982514,-0.07285252822267221,0.004333724678461503,-0.1662003427095568,-0.05326019881587253,0.14804796683303711,0.012224914038874147,0.10143763825852749,-0.07915155565413375,0.04741696316458892,0.05079126871701231,0.04089408073986188,0.13955334115242526
A2058,-0.006742860349711196,0.22707319662104292,0.1352574144976346,-0.009359065768761866,0.10547799617407731,0.09146538435953011,0.05268652326031447,-0.019203556498217794,-0.025862018397661758,0.01801382614247624,0.04046041951276394,-0.11080920853876579,0.031237923816016325,0.049833073315993924,0.0710240394214433,-0.041465368329048756,0.010553732634880124,0.008992387380413785,0.035100077841231446,0.033857091854161844,0.0843591679929378,0.01566429395911365,0.02444462899882112,-0.08223320159205695,0.1295867660874033,-0.1060587905140625,-0.07789363559734551,0.0089648876010761,0.13615311313011091,-0.04534421843448962,-0.0723466616124849,0.09852384039073246,0.05132363404317874
A253,-0.005326430471377154,0.060392858227460884,-0.07014567104094928,0.01064774557649401,-0.09333050257615766,0.11269096389412764,-0.00202749775499694,0.02133811432581216,0.042178200756844225,0.04555706534164792,0.005475094956096339,0.07029358300392759,0.2956374645011112,-0.03619185570327582,-0.037456498201944036,0.12078284520581568,0.080571655141912,0.22530146219586225,-0.017349910848013766,0.12685227376390426,0.13177680379896003,-0.19127316289393564,0.03483341490479005,0.14230981258753322,-0.0173154619039928,-0.09589433708812192,-0.007288642460809623,-0.0031664088891189077,0.058743686609200284,0.044718278780450704,0.10665903494293162,-0.024580402950287784,-0.009355982707207475
A2780,-0.014594124791894522,0.3027219398084287,0.11227965302536749,0.026883538678935323,-0.13798765200222202,0.11795961322306274,0.06039591910761735,-0.1014893489803661,0.09632014116209954,-0.1118634734918731,-0.15960976235403448,0.044887861234462575,0.15543011835266626,0.049148086191837886,0.012021090171689812,-0.04566856099390203,0.020054325919049838,-0.05313988725258405,-0.058450495997431635,-0.09904115505197049,-0.21330071685359608,-0.08443521849918705,-0.07142461709691464,-0.009782173618511757,0.003940357397283122,-0.08796504724549974,-0.008041233391992347,-0.08365923276379425,-0.013102179761832682,0.08330777784479874,0.12394594117111715,-0.09368654065267505,0.0016006946578973745
A375,-0.004857492828878707,0.09040855593114537,-0.06131512176060273,0.0446185798462061,0.028746097153526173,0.19442902587356545,-0.21412915958285614,-0.10667198169390953,0.04156096734191629,-0.12336373067685716,-0.07456683763853009,0.1434352269678926,-0.07898545564969384,0.07428804411853933,0.07550772452850471,0.01746562011209146,-0.04332170144675887,-0.1943097523978281,0.07001232053707598,0.013764405867983128,-0.10996676284195349,-0.0319231742615047,0.03202732153823749,0.05301288772698272,0.1829618813207714,-0.05759167758305298,-0.07664597234653558,-0.07416792172616324,0.06419012665515733,0.12226500743997559,-0.14551228726399912,-0.05988750468670258,0.012451414504269233
A498,0.01971613426526698,-0.5107191511378486,-0.1939736349371012,-0.07626729388876664,0.08298242045343057,0.04850598912061114,-0.07690718958780618,0.007233953848223314,0.13994743151932823,-0.08915545075597836,-0.1261202383110976,-0.08912505130624422,-0.13636142275032298,-0.06546217378537456,0.1439719216166896,0.013634124669270232,-0.058725864517910724,-0.0419706369301629,-0.06999123671013366,-0.02440858566971042,0.10647465234424959,0.12326727569148588,0.12776653269065152,-0.06725581967686942,-0.06649825413353472,-0.09783314763508892,0.02072243264230962,0.03010847529447559,0.071355574526772,0.12213410689958276,0.10789614190690529,-0.14347688891877833,-0.05686451896456123
A549,0.0010150641176520294,0.04294840469512232,-0.13346841545537624,-0.0009573843011886335,-0.20716083738927124,0.22165141722177525,-0.15815204350012937,0.010114344325255832,0.016873814174400398,-0.06469723873704708,-0.267346468748033,0.06614346854685013,-0.059408141843976484,-0.02537998704651493,-0.03201235161388537,-0.16284142152605105,0.057221582643461395,0.030367487294312493,-0.2041105685770302,0.14817944225500626,-0.11901780966935202,0.17009468189655985,-0.04530024558506062,0.051461190724677155,0.08621232722930494,0.006777732083551299,0.029343141484498434,-0.13306400038777252,-0.045902804231796594,0.06021018283374879,0.1405674419581636,-0.09679260695756063,0.1311712453285555
