Altretamine	Altretamine
belinostat	Belinostat
busulfan	Busulfan
celecoxib	Celecoxib
crizotinib	crizotinib
Decitabine	Decitabine
Filgotinib	Filgotinib
fulvestrant	Fulvestrant
panobinostat	Panobinostat
Raltitrexed	Raltitrexed
regorafenib	Regorafenib
resveratrol	Resveratrol
TAK-901	TAK-901
Temsirolimus	Temsirolimus
tofacitinib	Tofacitinib
trametinib	Trametinib
triamcinolone	Triamcinolone
vandetanib	Vandetanib
zileuton	Zileuton
